start_date,end_date,q01,q02,q04_01,q04_02,q04_03,q04_04,q04_05,q04_06,q05,q07_01,q07_02,q07_03,q07_04,q07_05,q07_06,q07_07,q07_08,q07_09,q07_10,q07_11,q08_01,q08_02,q08_03,q08_04,q08_05,q08_06,q08_07,q08_08,q08_09,q08_10,q08_11,q08_12,q10_01,q10_02,q10_03,q10_04,q10_05,q10_06,q10_07,q10_08,q11_01,q11_02,q11_03,q11_04,q11_05,q12_01,q12_02,q12_03,q12_04,q12_05,q12_06,q12_07,q13,q14,q15,q17,q18,q19_01,q19_02,q19_03,q19_04,q19_05,q19_06,q19_07,q20_01,q20_02,q20_03,q20_04,q20_05,q20_06,q21_01,q21_02,q21_03,q21_04,q22,q24,q25_01,q25_02,q25_03,q26,q28,q29,q30,q34,q35,q36,racethn4,educ4,age3,has_children,orientation,weight,is_employed,employment_status
2018-05-10 04:01:00,2018-05-10 04:06:00,0.6666666666666666,0.6666666666666666,False,False,False,True,False,False,True,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.25,1.0,0.0,False,False,True,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,0.5,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,Never married,False,False,True,Gay,Hispanic,College graduate,New York,"$0-$9,999",Middle Atlantic,Windows Desktop / Laptop,Hispanic,College or more,35 - 64,False,Gay/Bisexual,1.714025972,False,not looking for work
2018-05-10 06:30:00,2018-05-10 06:53:00,0.6666666666666666,0.6666666666666666,True,False,False,False,False,False,True,0.5,0.25,0.75,0.5,1.0,0.5,1.0,0.0,1.0,0.25,,False,True,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,False,0.25,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,Widowed,False,True,False,Straight,White,Some college,Ohio,"$50,000-$74,999",East North Central,iOS Phone / Tablet,White,Some college,65 and up,True,Straight,1.2471201159999998,False,retired
2018-05-10 07:02:00,2018-05-10 07:09:00,1.0,0.3333333333333333,True,False,False,False,False,True,False,0.25,0.25,0.25,0.5,0.75,0.0,1.0,0.5,0.25,0.5,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,,1.0,False,True,0.5,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,Married,False,True,False,Straight,White,College graduate,Michigan,"$50,000-$74,999",East North Central,Windows Desktop / Laptop,White,College or more,35 - 64,True,Straight,0.515746057,True,working full-time
2018-05-10 07:27:00,2018-05-10 07:31:00,1.0,0.3333333333333333,True,True,True,False,False,False,False,0.5,0.5,0.25,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,1.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,Married,False,True,False,,White,Some college,Indiana,"$50,000-$74,999",East North Central,Windows Desktop / Laptop,White,Some college,65 and up,True,No answer,0.6006400789999999,False,retired
2018-05-10 07:35:00,2018-05-10 07:42:00,1.0,1.0,False,False,True,False,False,False,True,0.25,0.5,1.0,0.75,0.75,0.25,1.0,0.0,0.5,0.75,0.25,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,,1.0,True,False,1.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,Never married,False,False,True,Straight,White,College graduate,Ohio,"$50,000-$74,999",East North Central,Windows Desktop / Laptop,White,College or more,35 - 64,False,Straight,1.0334004540000001,True,working full-time
2018-05-10 08:25:00,2018-05-10 08:34:00,1.0,0.6666666666666666,True,False,False,False,False,False,True,0.75,0.25,0.25,0.5,0.75,0.0,1.0,0.25,0.0,0.75,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,,0.3333333333333333,False,False,1.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,Married,False,True,False,Straight,White,Post graduate degree,Indiana,"$200,000+",East North Central,Windows Desktop / Laptop,White,Post graduate degree,65 and up,True,Straight,0.059086640999999995,True,working full-time
2018-05-10 08:29:00,2018-05-10 08:41:00,0.6666666666666666,0.3333333333333333,True,True,True,False,True,False,False,0.25,0.25,1.0,0.5,0.5,0.5,1.0,0.25,0.25,1.0,0.5,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,0.0,,True,0.5,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,Never married,False,True,False,Gay,Other,Post graduate degree,Hawaii,"$25,000-$49,999",West North Central,Windows Desktop / Laptop,Other,Post graduate degree,18 - 34,True,Gay/Bisexual,0.257359715,True,working full-time
2018-05-10 10:04:00,2018-05-10 10:11:00,0.6666666666666666,0.6666666666666666,True,False,False,True,True,False,True,0.5,0.5,1.0,0.75,1.0,0.0,1.0,0.25,0.25,0.75,0.5,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,0.75,False,False,False,True,True,True,False,True,False,False,True,True,False,False,False,False,True,True,Married,False,False,True,Straight,White,College graduate,New York,"$150,000-$174,999",Middle Atlantic,Windows Desktop / Laptop,White,College or more,65 and up,False,Straight,0.6564900539999999,False,retired
2018-05-10 11:00:00,2018-05-10 11:07:00,1.0,0.0,True,False,False,False,True,False,False,0.25,0.25,0.25,0.25,0.75,0.0,1.0,0.0,0.25,1.0,0.5,False,True,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,,0.6666666666666666,False,False,1.0,True,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,Married,True,False,False,Straight,Hispanic,Some college,California,"$100,000-$124,999",Pacific,iOS Phone / Tablet,Hispanic,Some college,35 - 64,True,Straight,4.341850255,True,working full-time
2018-05-11 12:36:00,2018-05-11 12:43:00,0.6666666666666666,0.6666666666666666,True,False,False,True,False,True,False,0.25,0.5,1.0,0.5,1.0,0.0,1.0,0.0,0.5,0.75,0.25,False,True,False,True,False,True,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,,0.6666666666666666,False,True,1.0,True,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,True,False,Married,False,False,True,Straight,White,Post graduate degree,Oregon,"$150,000-$174,999",Pacific,iOS Phone / Tablet,White,Post graduate degree,35 - 64,False,Straight,0.057482292000000004,True,working full-time
