cat_col,cat_to_code,code_to_cat,is_ordered
q01,"{'Somewhat masculine': 2, 'Very masculine': 3, 'Not at all masculine': 0, 'Not very masculine': 1, nan: -1}","{2: 'Somewhat masculine', 3: 'Very masculine', 0: 'Not at all masculine', 1: 'Not very masculine', -1: nan}",True
q02,"{'Somewhat important': 2, 'Not too important': 1, 'Very important': 3, 'Not at all important': 0, nan: -1}","{2: 'Somewhat important', 1: 'Not too important', 3: 'Very important', 0: 'Not at all important', -1: nan}",True
q07_01,"{'Often': 4, 'Rarely': 2, 'Sometimes': 3, 'Never, but open to it': 1, 'Never, and not open to it': 0, nan: -1}","{4: 'Often', 2: 'Rarely', 3: 'Sometimes', 1: 'Never, but open to it', 0: 'Never, and not open to it', -1: nan}",True
q07_02,"{'Often': 4, 'Sometimes': 3, 'Rarely': 2, 'Never, but open to it': 1, nan: -1, 'Never, and not open to it': 0}","{4: 'Often', 3: 'Sometimes', 2: 'Rarely', 1: 'Never, but open to it', -1: nan, 0: 'Never, and not open to it'}",True
q07_03,"{'Often': 4, 'Never, but open to it': 1, 'Sometimes': 3, 'Never, and not open to it': 0, 'Rarely': 2, nan: -1}","{4: 'Often', 1: 'Never, but open to it', 3: 'Sometimes', 0: 'Never, and not open to it', 2: 'Rarely', -1: nan}",True
q07_04,"{'Often': 4, 'Rarely': 2, 'Never, but open to it': 1, 'Sometimes': 3, nan: -1, 'Never, and not open to it': 0}","{4: 'Often', 2: 'Rarely', 1: 'Never, but open to it', 3: 'Sometimes', -1: nan, 0: 'Never, and not open to it'}",True
q07_05,"{'Never, and not open to it': 0, 'Never, but open to it': 1, 'Rarely': 2, 'Sometimes': 3, 'Often': 4, nan: -1}","{0: 'Never, and not open to it', 1: 'Never, but open to it', 2: 'Rarely', 3: 'Sometimes', 4: 'Often', -1: nan}",True
q07_06,"{'Never, and not open to it': 0, 'Rarely': 2, 'Often': 4, 'Sometimes': 3, 'Never, but open to it': 1, nan: -1}","{0: 'Never, and not open to it', 2: 'Rarely', 4: 'Often', 3: 'Sometimes', 1: 'Never, but open to it', -1: nan}",True
q07_07,"{'Often': 4, 'Never, and not open to it': 0, 'Rarely': 2, 'Never, but open to it': 1, 'Sometimes': 3, nan: -1}","{4: 'Often', 0: 'Never, and not open to it', 2: 'Rarely', 1: 'Never, but open to it', 3: 'Sometimes', -1: nan}",True
q07_08,"{'Sometimes': 3, 'Often': 4, 'Rarely': 2, 'Never, and not open to it': 0, 'Never, but open to it': 1, nan: -1}","{3: 'Sometimes', 4: 'Often', 2: 'Rarely', 0: 'Never, and not open to it', 1: 'Never, but open to it', -1: nan}",True
q07_09,"{'Sometimes': 3, 'Never, and not open to it': 0, 'Rarely': 2, 'Often': 4, 'Never, but open to it': 1, nan: -1}","{3: 'Sometimes', 0: 'Never, and not open to it', 2: 'Rarely', 4: 'Often', 1: 'Never, but open to it', -1: nan}",True
q07_10,"{'Never, and not open to it': 0, 'Sometimes': 3, 'Rarely': 2, 'Never, but open to it': 1, 'Often': 4, nan: -1}","{0: 'Never, and not open to it', 3: 'Sometimes', 2: 'Rarely', 1: 'Never, but open to it', 4: 'Often', -1: nan}",True
q07_11,"{'Often': 4, nan: -1, 'Never, and not open to it': 0, 'Sometimes': 3, 'Rarely': 2, 'Never, but open to it': 1}","{4: 'Often', -1: nan, 0: 'Never, and not open to it', 3: 'Sometimes', 2: 'Rarely', 1: 'Never, but open to it'}",True
q13,"{nan: -1, 'You weren`t sure it was sexual harassment': 2, 'You didn`t want to get involved': 1, 'You didn`t think it was your place': 0, 'You weren`t sure who to contact': 3}","{-1: nan, 2: 'You weren`t sure it was sexual harassment', 1: 'You didn`t want to get involved', 0: 'You didn`t think it was your place', 3: 'You weren`t sure who to contact'}",False
q14,"{nan: -1, 'A lot': 3, 'Only a little': 1, 'Nothing at all': 0, 'Some': 2}","{-1: nan, 3: 'A lot', 1: 'Only a little', 0: 'Nothing at all', 2: 'Some'}",True
